stage,task_type,run_id,model_id,seed,fraction_code,status,elapsed_seconds,artifact_sha256,source_commit
week5,downstream_anchor,week5-m2-f01-seed17,M2,17,01,success,108.5391231,6b2b9dcfadc5c5407e02787f4768c96d9380ea679e20a7f97078f05c30bb9c1b,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m2-f01-seed29,M2,29,01,success,106.6607207,f1b1c9118658b307aabcabc3e260dd1f4d95539fd34cf335da33a9d3c4fcfe2c,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m2-f01-seed43,M2,43,01,success,120.9760443,b0918d8597f93c4ece2672a927804ed8446b12973a77b9f15e7bcc2997a1e4a2,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m2-f10-seed17,M2,17,10,success,84.56607057,33d4d38ce3350e0f620fce808659d231f058f7ea7daf75d9b459ebbebd6b8cac,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m2-f10-seed29,M2,29,10,success,86.09181454,dfc34e250e7244617d8f7f4fb4ddf5192b6b73f85ff5d327a3e5772403303712,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m2-f10-seed43,M2,43,10,success,94.28545182,5a025f5703e24a56a875a1ef53a28315c271917f83ce7237a230cd383530fb7d,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m2-f100-seed17,M2,17,100,success,259.9822501,edc6dbeca9a9b8874e40a093cf415233fc0f87d057172a3545b09b4e887cea4d,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m2-f100-seed29,M2,29,100,success,258.8989464,61c4a643e0c6b0f79f0612cffd05f6d2d7e0b20dba5dde5a7c2e000d3b937b7b,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m2-f100-seed43,M2,43,100,success,289.0155712,e79e6f6b62f7f8adcbd4689059da9fcf44ff1ad74518f9e93b960e4e9e8204c0,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m3-f01-seed17,M3,17,01,success,166.8376079,975f5a9bf495fe04b8b34374bf92f56b66d1f4833aa5b0c6dc59f889f53a5c8e,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m3-f01-seed29,M3,29,01,success,168.7009594,29d58c5d98c5aa761c0bbc60cccb3744d99a7deb134edafc6aa95619e101e0e9,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m3-f01-seed43,M3,43,01,success,188.6736884,a26c16d9e08dec57986d8839055555ec17820f240aae8687e1989b69773c6da7,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m3-f10-seed17,M3,17,10,success,139.78333,e680e3f885a3c8942b594117880f956a167d6290d74d2bcf3125a5cb0b87db8d,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m3-f10-seed29,M3,29,10,success,144.8638062,1e9cd801aed56c4f1e987fbd5965e93a574880b9279991d1098fc117d49cf623,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m3-f10-seed43,M3,43,10,success,157.3627868,b9d7385cd49b7271e0cba07a1add38121b77934b10be9075ac1028280e5f1a80,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m3-f100-seed17,M3,17,100,success,474.158232,078ff4a58f83cbe6d408b2588ae75f0b482bf8b02e7d97b0d38f137d2d830770,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m3-f100-seed29,M3,29,100,success,472.9272611,a693d1a745a415958cfb7dab19bd195055376d0332d8e4fb45eefdacc4496be5,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m3-f100-seed43,M3,43,100,success,519.2906794,64f0a041ccec981a49725e081f41bcd9b7710aa7ed64ef386550f83a06e75fbb,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m4-f01-seed17,M4,17,01,success,165.1576973,d97b5409209cecb0c36d3d25d4964e8fc0c355c4090e4855ace92e648d96387d,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m4-f01-seed29,M4,29,01,success,166.3423392,2e263593b3115e755192859af3967a2ba46b70a12449fb34f58a51643621154a,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m4-f01-seed43,M4,43,01,success,183.1383755,6b0b454b088202fa2aa0024363f418c0f0e49cdc1324ea82d6de906d6ed3afa8,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
week5,downstream_anchor,week5-m4-f10-seed17,M4,17,10,success,141.302927,b5f6fdea0e8b0752d9b26eadc3f5a97ff0651f0c7d68327249d026f273ebf6c8,634e2cd6774ebca7bc7edb2bb736230d4e741ec7
