run_id,model_id,probe_type,fraction_code,seed,sample_count,validation_supported_map,selected_hyperparameter,feature_cache_sha256
week7-m6-linear-f10-seed29,M6,linear,10,29,1200,0.6025532310302535,0.01,aecbc0d19650e3a4b97faa34d1a3a15ff348e4c94d0779ee383dcc89e81c0882
week7-m6-linear-f25-seed29,M6,linear,25,29,3000,0.6267529571222199,0.01,aecbc0d19650e3a4b97faa34d1a3a15ff348e4c94d0779ee383dcc89e81c0882
week7-m6-linear-f50-seed29,M6,linear,50,29,6000,0.6054665299374149,0.01,aecbc0d19650e3a4b97faa34d1a3a15ff348e4c94d0779ee383dcc89e81c0882
week7-m6-linear-f100-seed29,M6,linear,100,29,12000,0.6091445694599371,0.01,aecbc0d19650e3a4b97faa34d1a3a15ff348e4c94d0779ee383dcc89e81c0882
week7-m6-linear-f01-seed43,M6,linear,01,43,120,0.4430730424833113,0.01,aecbc0d19650e3a4b97faa34d1a3a15ff348e4c94d0779ee383dcc89e81c0882
week7-m6-linear-f05-seed43,M6,linear,05,43,600,0.5338746425522113,0.01,aecbc0d19650e3a4b97faa34d1a3a15ff348e4c94d0779ee383dcc89e81c0882
week7-m6-linear-f10-seed43,M6,linear,10,43,1200,0.5595316745340647,0.01,aecbc0d19650e3a4b97faa34d1a3a15ff348e4c94d0779ee383dcc89e81c0882
week7-m6-linear-f25-seed43,M6,linear,25,43,3000,0.6067713779775287,0.01,aecbc0d19650e3a4b97faa34d1a3a15ff348e4c94d0779ee383dcc89e81c0882
week7-m6-linear-f50-seed43,M6,linear,50,43,6000,0.594089503753845,0.01,aecbc0d19650e3a4b97faa34d1a3a15ff348e4c94d0779ee383dcc89e81c0882
week7-m6-linear-f100-seed43,M6,linear,100,43,12000,0.6019598028366075,0.01,aecbc0d19650e3a4b97faa34d1a3a15ff348e4c94d0779ee383dcc89e81c0882
week9-m1-knn-f10-seed17,M1,knn,10,17,1200,0.42490342607731085,50.0,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
week9-m2-knn-f10-seed17,M2,knn,10,17,1200,0.31669120299843867,50.0,1650aea0f8b978f09965a63ac6a1c9372aa2d8a5d35d0d533a244170cb422bde
week9-m3-knn-f10-seed17,M3,knn,10,17,1200,0.3468317129396652,50.0,29c9513932fec237c6e667f43cd6773119bf30e928ff5d24861f5b94cfdaf39e
week9-m4-knn-f10-seed17,M4,knn,10,17,1200,0.3320815286440298,50.0,e62d947976f5ee8efc18d9dcc231c93d9c81c0ef00ff36f284117235613ef478
week9-m1-knn-f10-seed29,M1,knn,10,29,1200,0.4098957417114847,50.0,7c10325b8475abcaaced33a2329e1b9ab72e53158f2f3b48ae654f6d9eb18339
