model_id,seed,row_count,query_count,cosine_similarity_mean,cosine_similarity_std,label_jaccard_mean,label_jaccard_std,geographic_distance_km_mean,geographic_distance_km_std,same_mgrs_tile_rate,same_12km_block_rate
M3,17,500,100,0.9476640772,0.04376347145,0.3402873016,0.3049796241,1400.513317,854.6716877,0,0
M3,29,500,100,0.9401491935,0.04460113488,0.3721214286,0.3132166858,1427.352693,882.8329425,0,0
M3,43,500,100,0.9504711196,0.04202019858,0.3619214286,0.3228945516,1482.33684,931.4491828,0,0
M4,17,500,100,0.9527543305,0.03524629051,0.3666626984,0.3158914342,1476.736265,912.8123546,0,0
M4,29,500,100,0.9527679358,0.03655910137,0.3690849206,0.3252556378,1407.71927,918.9731419,0,0
M4,43,500,100,0.956625914,0.03685374942,0.3409634921,0.3225525305,1414.107791,883.8720318,0,0
