run_id,model_id,fraction_code,seed,domain,class_index,class_name,positive_count,negative_count,average_precision,recall_at_0_5,recall_at_source_v_threshold,f1_at_0_5,f1_at_source_v_threshold,ece_15bin,in_c_source
week5-m0-f01-seed17,M0,01,17,I,0,Agro-forestry areas,0,3000,,,,,,0.003986748273529071,False
week5-m0-f01-seed17,M0,01,17,I,1,Arable land,1036,1964,0.5942011735885985,0.8281853281853282,0.8040540540540541,0.6161579892280071,0.6131762973868237,0.206441865105335,True
week5-m0-f01-seed17,M0,01,17,I,2,"Beaches, dunes, sands",24,2976,0.018610229113348736,0.125,0.08333333333333333,0.040268456375838924,0.03669724770642202,0.09664168931273123,False
week5-m0-f01-seed17,M0,01,17,I,3,Broad-leaved forest,718,2282,0.3239727990970525,0.8091922005571031,0.7214484679665738,0.4917477782479898,0.4763218390804598,0.23523580810494812,True
week5-m0-f01-seed17,M0,01,17,I,4,Coastal wetlands,1,2999,0.00042301184433164127,0.0,0.0,0.0,0.0,0.009379115787409194,False
week5-m0-f01-seed17,M0,01,17,I,5,Complex cultivation patterns,665,2335,0.37034855688519336,0.318796992481203,0.22556390977443608,0.36678200692041524,0.29411764705882354,0.11406777664071999,True
week5-m0-f01-seed17,M0,01,17,I,6,Coniferous forest,580,2420,0.6015380637683133,0.6982758620689655,0.6896551724137931,0.5720338983050848,0.5747126436781609,0.1452526411502375,True
week5-m0-f01-seed17,M0,01,17,I,7,Industrial or commercial units,87,2913,0.0738011399774088,0.2413793103448276,0.22988505747126436,0.14583333333333334,0.14814814814814814,0.10157628690491194,True
week5-m0-f01-seed17,M0,01,17,I,8,Inland waters,208,2792,0.14425543114127148,0.18269230769230768,0.13942307692307693,0.18627450980392157,0.15934065934065933,0.08851165156288451,True
week5-m0-f01-seed17,M0,01,17,I,9,Inland wetlands,273,2727,0.11416750975751437,0.0,0.0,0.0,0.0,0.06385697898354974,True
week5-m0-f01-seed17,M0,01,17,I,10,"Land principally occupied by agriculture, with significant areas of natural vegetation",694,2306,0.2551606598869901,0.11815561959654179,0.08213256484149856,0.14734950584007186,0.1123152709359606,0.1591702518075759,True
week5-m0-f01-seed17,M0,01,17,I,11,Marine waters,617,2383,0.9635120328030575,0.9756888168557536,0.9756888168557536,0.5936883629191322,0.6053293112116641,0.2771573030747959,True
week5-m0-f01-seed17,M0,01,17,I,12,Mixed forest,812,2188,0.6217935533844403,0.7463054187192119,0.7167487684729064,0.6247422680412371,0.6326086956521739,0.1424193522714418,True
week5-m0-f01-seed17,M0,01,17,I,13,"Moors, heathland and sclerophyllous vegetation",107,2893,0.03229013506479562,0.0,0.0,0.0,0.0,0.02698197142015457,True
week5-m0-f01-seed17,M0,01,17,I,14,Natural grassland and sparsely vegetated areas,70,2930,0.024663700497950136,0.0,0.0,0.0,0.0,0.05333867549103342,True
week5-m0-f01-seed17,M0,01,17,I,15,Pastures,1100,1900,0.7219406394988954,0.98,0.9718181818181818,0.6341176470588236,0.6424278846153846,0.32645998837462853,True
week5-m0-f01-seed17,M0,01,17,I,16,Permanent crops,151,2849,0.09246804950037306,0.0,0.0,0.0,0.0,0.028863945013116944,True
week5-m0-f01-seed17,M0,01,17,I,17,"Transitional woodland, shrub",326,2674,0.21815262579037056,0.5,0.4570552147239264,0.29475587703435807,0.31735889243876464,0.19003313319269466,True
week5-m0-f01-seed17,M0,01,17,I,18,Urban fabric,613,2387,0.3086547006608602,0.3376835236541599,0.28874388254486133,0.34673366834170855,0.31522707034728403,0.11910192257730334,True
week5-m0-f01-seed17,M0,01,17,Finland,0,Agro-forestry areas,0,4000,,,,,,0.0018685804823770332,False
week5-m0-f01-seed17,M0,01,17,Finland,1,Arable land,457,3543,0.39603883195483675,0.5207877461706784,0.47702407002188185,0.4078834618680377,0.4132701421800948,0.12568045557753024,True
week5-m0-f01-seed17,M0,01,17,Finland,2,"Beaches, dunes, sands",1,3999,0.0024630541871921183,0.0,0.0,0.0,0.0,0.06834102363743219,False
week5-m0-f01-seed17,M0,01,17,Finland,3,Broad-leaved forest,229,3771,0.05985902645927662,0.7685589519650655,0.7205240174672489,0.12809315866084425,0.12702078521939955,0.48287130255309607,True
week5-m0-f01-seed17,M0,01,17,Finland,4,Coastal wetlands,10,3990,0.016192777464175825,0.0,0.0,0.0,0.0,0.00431185303054662,False
week5-m0-f01-seed17,M0,01,17,Finland,5,Complex cultivation patterns,21,3979,0.0041551379897647,0.0,0.0,0.0,0.0,0.22226124195119962,True
week5-m0-f01-seed17,M0,01,17,Finland,6,Coniferous forest,2776,1224,0.8681320119924931,0.5396253602305475,0.5234149855907781,0.6821493624772313,0.6694310066804884,0.3152091216159111,True
week5-m0-f01-seed17,M0,01,17,Finland,7,Industrial or commercial units,32,3968,0.012655513177403838,0.46875,0.4375,0.032119914346895075,0.03017241379310345,0.2550886243591925,True
week5-m0-f01-seed17,M0,01,17,Finland,8,Inland waters,985,3015,0.2960461508229724,0.3472081218274112,0.2984771573604061,0.34354595680562533,0.3088235294117647,0.16614444780407372,True
week5-m0-f01-seed17,M0,01,17,Finland,9,Inland wetlands,530,3470,0.18665258594220732,0.0,0.0,0.0,0.0,0.06804001339450227,True
week5-m0-f01-seed17,M0,01,17,Finland,10,"Land principally occupied by agriculture, with significant areas of natural vegetation",588,3412,0.25617810804540114,0.08163265306122448,0.034013605442176874,0.13278008298755187,0.06153846153846154,0.10594317081377232,True
week5-m0-f01-seed17,M0,01,17,Finland,11,Marine waters,892,3108,0.8543064285145703,0.9383408071748879,0.9360986547085202,0.7554151624548736,0.7660550458715596,0.12823802996622544,True
