run_id,model_id,fraction_code,seed,domain,sample_count,supported_map,all_class_map,macro_f1_at_0_5,micro_f1_at_0_5,macro_f1_at_source_v_threshold,micro_f1_at_source_v_threshold,source_v_threshold,binary_brier_score,macro_classwise_ece_15bin,mgrs_group_count,block_12km_count,country_count,quarter_count
week5-m0-f01-seed17,M0,01,17,I,3000,0.3413075482064428,0.30444188957004253,0.2811380723027735,0.4868658512131542,0.2737656448667072,0.4859397341524122,0.5499999999999999,0.130129049030562,0.1257093213183685,8,193,5,4
week5-m0-f01-seed17,M0,01,17,Finland,4000,0.25403526626629586,0.22684556066178344,0.20501367736475867,0.3908955962394854,0.19738033791405196,0.3856618951851414,0.5499999999999999,0.1746504338953143,0.19266726897103115,21,1012,1,4
week5-m0-f01-seed17,M0,01,17,Portugal,4000,0.27044511556328804,0.24856494145836544,0.19381182927562635,0.3640382147440468,0.18143915399544808,0.3520186979304105,0.5499999999999999,0.17535619378486555,0.18494350257741876,3,286,1,4
week5-m0-f01-seed17,M0,01,17,OOD,8000,0.26224019091479195,,,,,,0.5499999999999999,,,24,1298,2,4
week5-m0-f10-seed17,M0,10,17,I,3000,0.4660444886917974,0.4164015307628776,0.3947038873409477,0.579007593883283,0.3981521327394857,0.5775875094434652,0.44999999999999996,0.10380216484337859,0.08661728337138346,8,193,5,4
week5-m0-f10-seed17,M0,10,17,Finland,4000,0.32124579489063415,0.2857683370950977,0.2590644917277626,0.45851717276581017,0.27131927835600805,0.4653424544630347,0.44999999999999996,0.1178149154093159,0.13165077918333007,21,1012,1,4
week5-m0-f10-seed17,M0,10,17,Portugal,4000,0.3101347679275578,0.28434147308470353,0.23684890137605655,0.35133594004561747,0.2435183929477461,0.3591626308389314,0.44999999999999996,0.16297050370112057,0.15471166628590413,3,286,1,4
week5-m0-f10-seed17,M0,10,17,OOD,8000,0.31569028140909594,,,,,,0.44999999999999996,,,24,1298,2,4
week5-m0-f100-seed17,M0,100,17,I,3000,0.5914312862985905,0.5311812445641917,0.4734231924001805,0.6768870988696895,0.49311045127413244,0.6830147016096229,0.35,0.06430761493137278,0.03603825429243916,8,193,5,4
week5-m0-f100-seed17,M0,100,17,Finland,4000,0.38071054833436535,0.33917280540470074,0.29602700857033054,0.5610392320534223,0.31388473973598546,0.5649945075064079,0.35,0.08723515716390662,0.08740990937370999,21,1012,1,4
