foundation_model,baseline_model,fraction_code,foundation_mean,foundation_sample_std,paired_difference_mean,paired_difference_sample_std
M5,M0,01,0.39096810235967866,0.015180012135728263,0.0211644824332074,0.013269354836425492
M5,M1,01,0.39096810235967866,0.015180012135728263,-0.0153163030204726,0.01037831459381214
M5,M3,01,0.39096810235967866,0.015180012135728263,0.057234403167272886,0.01590567979438813
M5,M0,10,0.5120761613436756,0.01679951669494363,0.01237435803878519,0.025377678208887988
M5,M1,10,0.5120761613436756,0.01679951669494363,-0.0015086774495629747,0.01711237937264124
M5,M3,10,0.5120761613436756,0.01679951669494363,0.05945511112795193,0.02497668259198462
M5,M0,100,0.6275155081151887,0.006159768102528655,0.016409811420991332,0.006040375256371461
M5,M1,100,0.6275155081151887,0.006159768102528655,0.011804580197665318,0.007929274513791556
M5,M3,100,0.6275155081151887,0.006159768102528655,0.031785572457972644,0.011244746578975706
M6,M0,01,0.47658459736834824,0.011084115668514442,0.10678097744187699,0.016368450942842408
M6,M1,01,0.47658459736834824,0.011084115668514442,0.070300191988197,0.00678617293375494
M6,M3,01,0.47658459736834824,0.011084115668514442,0.1428508981759425,0.020150437334602977
M6,M0,10,0.6005655935821432,0.013758880936572782,0.10086379027725274,0.018403595470084994
M6,M1,10,0.6005655935821432,0.013758880936572782,0.08698075478890459,0.016265548551098755
M6,M3,10,0.6005655935821432,0.013758880936572782,0.1479445433664195,0.01922642538621425
M6,M0,100,0.6735925481812681,0.0015674535860163647,0.062486851487070706,0.0018066359696279597
M6,M1,100,0.6735925481812681,0.0015674535860163647,0.057881620263744694,0.00042052920485785675
M6,M3,100,0.6735925481812681,0.0015674535860163647,0.07786261252405202,0.013124828224989143
