family,run_id,model_id,fraction_code,seed,checkpoint_sha256,validation_macro_average_precision
foundation,week7-m5-f01-seed17,M5,01,17,a0c8951b9c06a4d91f9e80b65b63b43f479aebe343e34e17a42e909bb08fbc56,0.3921304604489948
foundation,week7-m5-f10-seed17,M5,10,17,cf7b0717fb5d62a8a0f24bdbafedb20739f4b11b9bd1f0a27e52fa193b0805b1,0.5284117687810187
foundation,week7-m5-f100-seed17,M5,100,17,c05cf696aef756ace806027ce01c7d79f18d89c8344bed62e6c6fe809eab8755,0.6258488640605637
foundation,week7-m6-f01-seed17,M6,01,17,8a03698b194efa3d053e6751c1b7e2fbf5e2a0186890a0282a5e0f98f153f49e,0.4682157783363371
foundation,week7-m6-f10-seed17,M6,10,17,7cab9281629532db8a23a84e5e413426a4d66c7a32de9b7e9938a061590d6449,0.6089665008934897
foundation,week7-m6-f100-seed17,M6,100,17,1bff8c3ef961abe02d2de492d6c2033d94455c0443cb83ac19c2472a386b3e37,0.6749296447004691
foundation,week7-m5-f01-seed29,M5,01,29,9ac910c61051e4f1b29f1ccfcfd4f94d156c4fc6cda15b3340b7a078cfa25ce9,0.40553352231265066
foundation,week7-m5-f10-seed29,M5,10,29,914b0fec7c1ee2c5fccfc44a142dfba1c101a8e2a3b21c684dd9c20917c995c4,0.51296841879607
foundation,week7-m5-f100-seed29,M5,100,29,cde85ad9b5fe71202fcc803fa144cf14b50d404820f362e6becbf39ef1416956,0.6343371075470072
foundation,week7-m6-f01-seed29,M6,01,29,4383a338d3547451341b96e50801e0954b7f72bf0065f1cdf1dadd3b480a6d36,0.48915529158975785
foundation,week7-m6-f10-seed29,M6,10,29,18cbffb2ad27d0d9166918777268bef39bc1d5dfd2e141d7be853e6db49307ee,0.6080431265631471
foundation,week7-m6-f100-seed29,M6,100,29,1140df1086dcb517901412de3ca2fb7bb3af1850d9f287e06b404e5b06fd00e5,0.6718675717802065
foundation,week7-m5-f01-seed43,M5,01,43,7eafa1edad6cedd7e460f28fcff3e06be576c1afb18007ce397eac53df161d9c,0.3752403243173905
foundation,week7-m5-f10-seed43,M5,10,43,2c33d9e4eb06b05adc297d17ae0b86967d549096146e0743e30f1a6bd558035c,0.4948482964539382
foundation,week7-m5-f100-seed43,M5,100,43,7ac986838491f8a4e008f017325c34c741ddedca443485533944bc1c364ccdea,0.6223605527379953
foundation,week7-m6-f01-seed43,M6,01,43,a345ec8f84abdcb6dba525a4c6438bc14b85b45963b2c66fc6ac68ad8b1e2d97,0.47238272217894983
foundation,week7-m6-f10-seed43,M6,10,43,c2824dca4a7bb0c09bc27f3742730254333122c8c0b39ff9b9acf95a1b8e84ea,0.5846871532897928
foundation,week7-m6-f100-seed43,M6,100,43,d77227aa0154ec4d00e69a7c51977c611965b89c9434f516b83948335d719c36,0.6739804280631287
controlled,week5-m0-f01-seed17,M0,01,17,63e9d5631b642dbac206fa363e776c604d671511272f39eb7f721052a2c1ddaa,0.3797247698261147
controlled,week6-m0-f05-seed17,M0,05,17,b4de0447ad931997171ce13daff93a15e0980145c16cb87a243f2b31e940570d,0.4713553264039888
controlled,week5-m0-f10-seed17,M0,10,17,e1be603842cd23d67cca446c8f8aeafc0eba6f042a7091ff253ce302900eef55,0.4868551058291235
controlled,week6-m0-f25-seed17,M0,25,17,e357b960f8da7ff55d967d739e186e725f981d10e422a54baab559b19472bee0,0.5510236188703741
controlled,week6-m0-f50-seed17,M0,50,17,9c86c497a666e5c51bb6011453a19164c73fc2d1c27bbffac3a718cc4fd1e7ed,0.586599924136338
controlled,week5-m0-f100-seed17,M0,100,17,c3008f608ecfd68cca50950c294af37909d15143071e4f2cf2245c541b496f06,0.6128438623339735
controlled,week5-m0-f01-seed29,M0,01,29,952f912bf34bf974a57d30ea496d6b56bd3d604e5a361eed88b178eaa1dc1661,0.3691021074167072
controlled,week6-m0-f05-seed29,M0,05,29,71a61cb4ff2c51459c9540529b2809eb78fc63ab6f8e98315bcd72f8bbc317d5,0.4502011972416274
controlled,week5-m0-f10-seed29,M0,10,29,25c4b1103016da378d85e0cc0189ea6887c87bd850d01192831e8b424feaf0da,0.5174920208006522
controlled,week6-m0-f25-seed29,M0,25,29,a59eb38dcee7a6a896fe2ffc6acc1bdf9435ef2ca4d80bb240c97afcac8ce082,0.556305061154075
controlled,week6-m0-f50-seed29,M0,50,29,6af207c6c38fe41c582946a8aaa1d06df7fad98e0685851654ff68acce575619,0.6024890543640491
controlled,week5-m0-f100-seed29,M0,100,29,e5c9f837740c44fb1e86603d6590f7f0b16eb4b6e00d34e41412e16361616b66,0.6109531186692969
controlled,week5-m0-f01-seed43,M0,01,43,64078b1d54981b4f694610cc931e0eca3378fc36ab9499cd956b815d8225e88d,0.3605839825365919
controlled,week6-m0-f05-seed43,M0,05,43,c0b4b139290a89166cae6a57d3a02b639df6f42aeae49b1045292a9058458a38,0.4718548960081802
controlled,week5-m0-f10-seed43,M0,10,43,985777dfe428fa8dc6d3ad6b1dd3809a4dcf0d7ba8443be886958279f86aedda,0.4947582832848957
controlled,week6-m0-f25-seed43,M0,25,43,fcce1d50ba23ed79c5636815cc497441252f9a6b52531a8cb02c71e473e039e4,0.5731495657770533
controlled,week6-m0-f50-seed43,M0,50,43,f70b2b656211028bf75f41f1d03c0542bd1c1eff1aaf74c0ac8c3bb5210ed628,0.5894450473102602
controlled,week5-m0-f100-seed43,M0,100,43,926a88e9600e179f4abd2eb51d216d46628a55adf772f44aa8d7ebf9ddbcde50,0.6095201090793219
controlled,week5-m1-f01-seed17,M1,01,17,3af143ead8b30d24de5ca35f8b42e038e3dc7b72f552238728edeec21d58fe88,0.4047314912904257
controlled,week6-m1-f05-seed17,M1,05,17,b918d7e88c7e028d89211e0b96243cd04ebebbf6683305f555d101feadb297eb,0.4790983907127184
controlled,week5-m1-f10-seed17,M1,10,17,18f38dcb0924c90976bd59ab4e9247b3f9777a893baae99b5e8daec739f0a3af,0.5172316956181532
controlled,week6-m1-f25-seed17,M1,25,17,f6e89e625dfdec077ff365d4d2d026015b690a60354c4d1e35527c81a92058bc,0.53448704417232
controlled,week6-m1-f50-seed17,M1,50,17,e242e7ba495bfae1cf340feba676e92b9eca73cd37aae327e1369ce879b3ba73,0.5718751314468776
controlled,week5-m1-f100-seed17,M1,100,17,ef356e138d64f4cff32a331e2f9e294e4952075397defff0eb98a8fa84d9f622,0.6171853043638946
controlled,week5-m1-f01-seed29,M1,01,29,63d0c0f9ef90f9c1a17f73af735d2e680f022455c17aed38197ea49c6a94e064,0.4120990546958931
controlled,week6-m1-f05-seed29,M1,05,29,e5a309637b3db7d73690f2bee406cc7125b849794d72048f03a7d5832e86d78d,0.4553356375807226
controlled,week5-m1-f10-seed29,M1,10,29,7527855c6445982fdb61489d4ffb31343e2225341781384e2bc4c793da1061db,0.5077035359781796
controlled,week6-m1-f25-seed29,M1,25,29,1dc936ebdd504bf65f8e2ba642c7cbc49c2e744d62be21ad94d05fb86ff8b8a6,0.5489047557397808
controlled,week6-m1-f50-seed29,M1,50,29,456f4238752857f9f0e735a830ca0239d54d32768fda6decbeebec98e5b6aecc,0.5995507226462812
controlled,week5-m1-f100-seed29,M1,100,29,e981ff3a7907aafa47ec48df877a3ffbfc9702f826c4326565b0aa86abc06504,0.6135139376836989
controlled,week5-m1-f01-seed43,M1,01,43,e05048c3a106a72278b297042b5b86e96523288897de392c189d2c37d87ac72b,0.402022670154135
controlled,week6-m1-f05-seed43,M1,05,43,b5f9e274f5c5d9207fe696e2060fdc964e3ffdc91e2c4f27e3c576539e694cd0,0.489306056182023
controlled,week5-m1-f10-seed43,M1,10,43,738a8cfe48a97553f789cdcd1e22a0d1ff2d7d135937d67c71a6c2eed8566631,0.515819284783383
controlled,week6-m1-f25-seed43,M1,25,43,d05eed15f14e1cc42deea2f2afd688c3d9c9f7e2297874621a6a187e8fd96c0d,0.5693808736706136
controlled,week6-m1-f50-seed43,M1,50,43,2e5fb852b8e1652ac89441ed354be8a2a26eb828da5ced0cfd1f5aca65717a73,0.5921423384410296
